А|195.37200156889716|527.3817015556456|0.0
V|204.85043573662188|527.3817015556456|0.0
Wh|199.9140822922042|516.963966570464|0.0
РУНН|212.55718689510906|542.292217133469|0.0
0,4 кВ, 50 Гц|236.9011093417248|542.2842915166152|0.0
1500/5|140.68283026399513|436.3384996111895|0.0
2500/5|191.30501653954343|437.8268118188639|0.0
PE|159.0755345608668|420.6685022418719|0.0
Назначение линии|67.16545747254605|209.1050953408237|0.0
2|71.03785173240249|422.4381122646341|0.0
N|203.49084744145875|420.0290987576632|0.0
Номер шкафа|66.85310640084572|328.3410857112226|0.0
Приборы измерительные|66.85310640084572|521.7258913643495|0.0
Iкз 1ф в конце линии, А|66.86095418757122|232.7573606504276|0.0
Тип|66.85310640084572|321.31752453883155|0.0
Номер линии|66.85310640084572|313.35527054186014|0.0
Установленная мощность, кВт|66.85310640084572|304.1946541641714|0.0
Расчетная мощность, кВт|66.95736384526026|292.9885761354867|0.0
Расчетный ток, А |66.85310640084572|280.8350130254162|0.0
Место установки|80.22209371688405|175.9172280450848|0.0
